Spanish,English
dice,says
hoy,today
tres,three
buena,good
necesito,need
dije,said
gusta,like
será,be
haber,to have
parte,part
todas,all
crees,do you believe
buen,good
conmigo,with me
nombre,name
mierda,shit
nuestra,our
mal,evil
debe,has to
realmente,really
estas,are
mío,mine
toda,all
hacerlo,do it
cada,each
visto,seen
importa,matters
contigo,with you
tienen,have
hemos,we have
tanto,so much
saber,know
hizo,did
veces,times
ven,come
idea,idea
eh,Hey
tarde,late
problema,problem
hora,hour
cierto,TRUE
dicho,saying
quien,who
demasiado,too much
amor,love
entre,between
ve,go
pasado,past
familia,family
estos,these
ustedes,you
chica,girl
esos,those
chicos,guys
cuenta,account
haces,you do
salir,go out
vaya,Oh
veo,I see
amigos,friends
hermano,brother
pensé,I thought
sabía,knew
cabeza,head
ah,oh
cariño,dear
digo,say
van,go
hombres,men
buenas,hello good
somos,are
cualquier,any
mientras,while
lado,side
debo,I must
sería,I would be
caso,case
primera,first
genial,brilliant
chico,boy
supuesto,supposed
hice,I did
adiós,bye
muchas,many
personas,people
señora,lady
